record,apuntador,fecha,transecto,direcion,placa,x_m,y_m,x_coord,y_coord,species,species_2,circ_cm,y04,y05,y06,y07,y08,y09,y10,y11,y12,y13,y14,y15,y16,sampled,
37,stacy,11 mayo 04,1,d,38,52.5,4.8,52.5,14.8,Alchornea latifolia,Alchornea_latifolia,60.7,1,0,0,0,0,0,0,0,0,0,0,0,0,no,
38,stacy,11 mayo 04,1,d,37,54,5.6,54,15.6,Alchornea latifolia,Alchornea_latifolia,67,1,0,0,0,0,0,0,0,0,0,0,0,0,no,
318,stacy,13 mayo 04,2,i,315,73,6.9,73,23.1,Alchornea latifolia,Alchornea_latifolia,101.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
331,stacy,13 mayo 04,2,i,327,101.2,1,101.2,29,Alchornea latifolia,Alchornea_latifolia,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
no_rec,gus,24-Feb-10,2,i,nn-33,102,1,102,29,Alchornea latifolia,Alchornea_latifolia,18.5,0,0,0,0,0,0,1,2,3,4,5,6,7,no,
424,stacy,13 mayo 04,2,d,425,6.3,0,6.3,30,Alchornea latifolia,Alchornea_latifolia,93.4,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
396,stacy,13 mayo 04,2,d,399,87.6,4.6,87.6,34.6,Alchornea latifolia,Alchornea_latifolia,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
558,jorge,26 mayo 2004,3,i,542,84.5,2,84.5,48,Alchornea latifolia,Alchornea_latifolia,135,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
654,stacy,26 mayo 2004,3,i,663,205.5,0.8,205.5,49.2,Alchornea latifolia,Alchornea_latifolia,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
704,stacy,27 mayo 2004,3,d,724,273.4,0.4,273.4,50.4,Alchornea latifolia,Alchornea_latifolia,60,0,0,1,2,3,0,0,0,0,0,0,0,0,no,
638,stacy,26 mayo 2004,3,d,632,146.5,0.5,146.5,50.5,Alchornea latifolia,Alchornea_latifolia,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
